net,length_um
_0941_,35.98µm
_2641_,35.98µm
net163,35.98µm
_2986_,35.94µm
_0398_,35.78µm
_1081_,35.78µm
_0549_,35.64µm
_3301_,35.615µm
_1315_,35.58µm
net730,35.57µm
_1448_,35.56µm
_2721_,35.56µm
_0669_,35.52µm
_0244_,35.48µm
_0013_,35.46µm
_3296_,35.44µm
_1519_,35.32µm
_2209_,35.255µm
net356,35.22µm
_2869_,35.21µm
_2474_,35.16µm
_1041_,35.1µm
_0116_,35.08µm
_1140_,35.06µm
_0409_,35.04µm
net335,34.98µm
_0067_,34.935µm
_1276_,34.88µm
net467,34.86µm
A[1],34.85µm
_0274_,34.84µm
_0080_,34.78µm
_1064_,34.68µm
_2538_,34.64µm
_0076_,34.6µm
_0201_,34.6µm
_1632_,34.6µm
_2096_,34.58µm
_2811_,34.42µm
_3323_,34.4µm
_0976_,34.36µm
_2866_,34.36µm
_2252_,34.28µm
_3327_,34.28µm
_1258_,34.18µm
_3276_,34.14µm
_0572_,34µm
net66,33.98µm
net465,33.96µm
_0147_,33.95µm
_0364_,33.88µm
_0372_,33.72µm
_3022_,33.66µm
_2831_,33.655µm
_0052_,33.6µm
_2208_,33.54µm
net452,33.52µm
_0182_,33.48µm
_1617_,33.46µm
_2511_,33.36µm
_2548_,33.26µm
_0702_,33.21µm
_1820_,33.16µm
net228,33.14µm
net741,33.12µm
_0833_,33.1µm
_0396_,33.06µm
_1900_,33.06µm
_2145_,33.06µm
_3383_,33.06µm
net598,33.06µm
_0639_,33.04µm
_1769_,33.04µm
_1574_,33µm
_1144_,32.98µm
_0036_,32.94µm
_1889_,32.92µm
_2738_,32.86µm
_2130_,32.82µm
A[3],32.81µm
_3213_,32.78µm
_0092_,32.7µm
_2644_,32.7µm
_1898_,32.68µm
_1182_,32.66µm
_3433_,32.64µm
_2867_,32.6µm
_2040_,32.58µm
_1845_,32.38µm
B[1],32.37µm
_0004_,32.36µm
_2151_,32.36µm
_2659_,32.34µm
_2581_,32.32µm
_1152_,32.3µm
_1418_,32.3µm
net17,32.28µm
_1684_,32.28µm
_2143_,32.18µm
_1992_,32.08µm
_1605_,32.04µm
_2425_,32.02µm
_2642_,32µm
_0649_,31.9µm
_1990_,31.88µm
_2679_,31.76µm
_1853_,31.74µm
_1936_,31.74µm
_0737_,31.68µm
_2242_,31.64µm
_3446_,31.64µm
net764,31.62µm
_1302_,31.5µm
_1590_,31.46µm
_1998_,31.38µm
_2418_,31.32µm
_0967_,31.28µm
_1933_,31.27µm
_2411_,31.26µm
_2002_,31.24µm
_2399_,31.24µm
_0474_,31.2µm
_1875_,31.18µm
_1327_,31.12µm
_0792_,31.08µm
_3208_,31.08µm
_0809_,31.04µm
_2366_,31.04µm
net760,31.02µm
_0113_,30.98µm
_1630_,30.96µm
_1869_,30.96µm
_2276_,30.9µm
_0699_,30.76µm
_1912_,30.74µm
_2809_,30.74µm
_2459_,30.7µm
_3357_,30.68µm
_0605_,30.66µm
_1625_,30.66µm
_2199_,30.66µm
_0467_,30.58µm
_1248_,30.58µm
_1572_,30.58µm
_1004_,30.55µm
_0193_,30.54µm
_0434_,30.47µm
_0654_,30.46µm
_1855_,30.46µm
_2297_,30.44µm
_0772_,30.285µm
_0553_,30.24µm
_0707_,30.2µm
_2945_,30.18µm
_0416_,30.16µm
_2895_,30.16µm
_1100_,30.12µm
_2141_,30.095µm
_2274_,30.06µm
_0794_,30.02µm
_1522_,30µm
_3183_,30µm
_1298_,29.98µm
_2834_,29.96µm
_1436_,29.84µm
_0962_,29.83µm
_2590_,29.8µm
_0580_,29.78µm
_2397_,29.78µm
_2230_,29.77µm
_3056_,29.76µm
_0919_,29.72µm
_2901_,29.7µm
_2471_,29.66µm
_3452_,29.595µm
_0430_,29.58µm
_0975_,29.58µm
_3243_,29.5µm
_0493_,29.47µm
B[3],29.47µm
_1985_,29.43µm
net289,29.4µm
_0069_,29.36µm
_3189_,29.36µm
_0512_,29.3µm
_0531_,29.28µm
_3318_,29.28µm
_0871_,29.255µm
_0952_,29.2µm
_1975_,29.2µm
_2136_,29.14µm
net485,29.14µm
_2734_,29.1µm
_0479_,29.08µm
_1138_,29.08µm
_2028_,29.08µm
_1629_,29.04µm
result[1],29µm
net298,29µm
_1072_,28.98µm
_2323_,28.98µm
_2971_,28.96µm
net707,28.94µm
_2322_,28.92µm
_0486_,28.9µm
net379,28.88µm
_0165_,28.86µm
_1640_,28.86µm
_2610_,28.82µm
_3482_,28.82µm
_0586_,28.81µm
_3374_,28.78µm
opcode[2],28.76µm
_2031_,28.72µm
_3265_,28.72µm
_2645_,28.7µm
_2406_,28.66µm
_0745_,28.64µm
net470,28.64µm
_0965_,28.56µm
_1450_,28.56µm
A[4],28.55µm
_0125_,28.52µm
